sentence	label
can you enable navigation to a starbucks nearby	1
navigate me to a macdonald's nearest	1
navigate me to a domino's nearest	1
please start navigation to a good coffee shop closeby	1
please start navigation to a good restaurant closeby	1
can you drive me to a expensive hotel nearby	1
can you drive me to a expensive movie theatre nearby	1
can you turn on navigation to a hospital located at home	1
can you turn on navigation to a hospital located at chicago	1
can you turn on navigation to a supermarket located at home	1
can you turn on navigation to a supermarket located at chicago	1
take me to a railway station located in office	1
take me to a railway station located in santa clara	1
take me to a police station located in office	1
start navigation to a good coffee shop located at nvidia headquarters by walking	1
start navigation to a good coffee shop located at intel museum by walking	1
start navigation to a good restaurant located at nvidia headquarters by walking	1
start navigation to a good restaurant located at intel museum by walking	1
navigate to a cheap coffee shop located on golden gate bridge	1
navigate to a cheap coffee shop located on santa clara convention centre	1
navigate to a cheap restaurant located on golden gate bridge	1
navigate to a cheap restaurant located on santa clara convention centre	1
enable navigation to a kfc located closeby stanford	1
enable navigation to a kfc located closeby nvidia santa clara office	1
enable navigation to a walmart located closeby stanford	1
enable navigation to a walmart located closeby nvidia santa clara office	1
enable navigation to a starbucks located closeby stanford	1
enable navigation to a starbucks located closeby nvidia santa clara office	1
drive me to a macdonald's located nearby my	1
drive me to a macdonald's located nearby mine	1
drive me to a macdonald's located nearby me	1
drive me to a domino's located nearby my	1
drive me to a domino's located nearby mine	1
drive me to a domino's located nearby me	1
please start navigation by foot to a good hotel located closeby new york	1
please start navigation by foot to a good hotel located closeby work	1
please start navigation by foot to a good movie theatre located closeby new york	1
please start navigation by foot to a good movie theatre located closeby work	1
take me to an expensive hotel located nearby google	1
take me to an expensive hotel located nearby facebook	1
take me to an expensive movie theatre located nearby google	1
take me to an expensive movie theatre located nearby facebook	1
can you please start navigating to the nearest hospital located in 203, lincoln avenue	1
can you please start navigating to the nearest hospital located in nvidia	1
can you please start navigating to the nearest supermarket located in 203, lincoln avenue	1
can you please start navigating to the nearest supermarket located in nvidia	1
navigate to the closest railway station located at stanford	1
navigate to the closest railway station located at nvidia santa clara office	1
navigate to the closest police station located at stanford	1
navigate to the closest police station located at nvidia santa clara office	1
coffee shop	1
restaurant	1
coffee shop by car	1
restaurant by car	1
to hotel	1
to movie theatre	1
to hotel by bike	1
to movie theatre by bike	1
to a good hotel	1
to a good movie theatre	1
to a good hotel by walking	1
to a good movie theatre by walking	1
mexican coffee shop	1
mexican restaurant	1
italian coffee shop	1
italian restaurant	1
mexican coffee shop by foot	1
mexican restaurant by foot	1
italian coffee shop by foot	1
italian restaurant by foot	1
to japanese coffee shop	1
to japanese restaurant	1
to greek coffee shop	1
to greek restaurant	1
to a expensive french coffee shop	1
to a expensive french restaurant	1
to a expensive thai coffee shop	1
to a expensive thai restaurant	1
to a hospital closeby	1
to a supermarket closeby	1
a cheap hospital	1
a cheap supermarket	1
a railway station closeby	1
a police station closeby	1
the cheapest coffee shop	1
the cheapest restaurant	1
the cheapest coffee shop closeby	1
the cheapest restaurant closeby	1
the cheapest coffee shop closeby by car	1
the cheapest restaurant closeby by car	1
to a nearby kfc	1
to a nearby walmart	1
to a nearby starbucks	1
closeby macdonald's	1
closeby domino's	1
spanish coffee shop near london	1
spanish coffee shop near san jose	1
spanish restaurant near london	1
spanish restaurant near san jose	1
mediterranean coffee shop near london	1
mediterranean coffee shop near san jose	1
mediterranean restaurant near london	1
mediterranean restaurant near san jose	1
coffee shop	1
restaurant	1
coffee shop by car	1
restaurant by car	1
to hotel	1
to movie theatre	1
to hotel by bike	1
to movie theatre by bike	1
to a good hotel	1
to a good movie theatre	1
to a good hotel by walking	1
to a good movie theatre by walking	1
mexican coffee shop	1
mexican restaurant	1
italian coffee shop	1
italian restaurant	1
mexican coffee shop by foot	1
mexican restaurant by foot	1
italian coffee shop by foot	1
italian restaurant by foot	1
to japanese coffee shop	1
to japanese restaurant	1
to greek restaurant	1
to a expensive french coffee shop	1
to a expensive french restaurant	1
to a expensive thai coffee shop	1
to a expensive thai restaurant	1
to a supermarket closeby	1
a cheap hospital	1
a cheap supermarket	1
a railway station closeby	1
a police station closeby	1
the cheapest coffee shop	1
the cheapest restaurant	1
the cheapest coffee shop closeby	1
the cheapest restaurant closeby	1
the cheapest coffee shop closeby by car	1
the cheapest restaurant closeby by car	1
to a nearby kfc	1
to a nearby walmart	1
to a nearby starbucks	1
closeby macdonald's	1
closeby domino's	1
spanish coffee shop near london	1
spanish coffee shop near san jose	1
spanish restaurant near london	1
spanish restaurant near san jose	1
mediterranean coffee shop near london	1
mediterranean coffee shop near san jose	1
mediterranean restaurant near london	1
mediterranean restaurant near san jose	1
navigate to stanford while stopping at a coffee shop	2
navigate to stanford while stopping at a restaurant	2
navigate to nvidia santa clara office while stopping at a coffee shop	2
navigate to nvidia santa clara office while stopping at a restaurant	2
drive me to new york with a stop at a hotel	2
drive me to new york with a stop at a movie theatre	2
drive me to work with a stop at a hotel	2
drive me to work with a stop at a movie theatre	2
can you take me to google and stop at a hospital on the way	2
can you take me to facebook and stop at a hospital on the way	2
can you take me to facebook and stop at a supermarket on the way	2
please take me to nvidia with a detour to railway station	2
please take me to nvidia with a detour to police station	2
start navigating to san francisco stop at kfc in between	2
start navigating to san francisco stop at walmart in between	2
start navigating to san francisco stop at starbucks in between	2
start navigating to 2788, san thomas express way, santa clara stop at kfc in between	2
activate navigation to london with a stop at macdonald's	2
activate navigation to san jose with a stop at macdonald's	2
take a detour to macdonald's	2
take a detour to domino's	2
stop at kfc on the way	2
stop at walmart on the way	2
can you stop at a hospital	2
can you stop at a supermarket	2
make an intermediate stop	2
a coffee shop	2
a restaurant	2
at a kfc	2
at a walmart	2
at a starbucks	2
leave it, i will visit later	3
i'll go there later	3
not now, maybe some other time	3
don't take me there now	3
leave it, i will check it out at a later time	3
i will check it out later	3
don't make any stops	3
no don't stop now	3
no will check it out later	3
end navigating	4
disable the navigation	4
turn off navigation mode	4
can you stop navigation	4
cancel current navigation	4
stop the navigation	4
quit navigation	4
please end the navigation	4
please turn off navigation	4
please stop current navigation	4
please cancel navigation	4
can you disable navigation	4
can you deacticate current navigation	4
can you switch off navigation	4
can you stop navigation	4
turn off navigation to home	4
disable navigation to office	4
disable navigation to santa clara	4
stop navigating to golden gate bridge	4
stop navigating to santa clara convention centre	4
stop navigation to work	4
switch off navigation to stanford	4
switch off navigation to nvidia santa clara office	4
deactivate navigation to san francisco	4
deactivate navigation to 2788, san thomas express way, santa clara	4
cancel the navigation to google	4
cancel the navigation to facebook	4
end navigation to 203, lincoln avenue	4
end navigation to nvidia	4
please disable navigation to london	4
please disable navigation to san jose	4
please switch off navigation to home	4
please switch off navigation to chicago	4
please cancel the navigation to office	4
please cancel the navigation to santa clara	4
please deactivate navigation to nvidia headquarters	4
please deactivate navigation to intel museum	4
can you end navigation to golden gate bridge	4
can you end navigation to santa clara convention centre	4
can you stop navigation to stanford	4
can you stop navigation to nvidia santa clara office	4
can you quit navigation to work	4
can you turn off navigation to nvidia headquarters	4
can you turn off navigation to intel museum	4
turn off navigation to restaurant	4
stop navigating to railway station	4
stop navigating to police station	4
stop navigation to macdonald's	4
stop navigation to domino's	4
switch off navigation to kfc	4
switch off navigation to walmart	4
switch off navigation to starbucks	4
deactivate navigation to supermarket	4
cancel the navigation to coffee shop	4
cancel the navigation to restaurant	4
end navigation to hotel	4
end navigation to movie theatre	4
please disable navigation to hospital	4
please switch off navigation to railway station	4
please switch off navigation to police station	4
please cancel the navigation to kfc	4
please cancel the navigation to walmart	4
please cancel the navigation to starbucks	4
please deactivate navigation to macdonald's	4
please deactivate navigation to domino's	4
can you end navigation to coffee shop	4
can you end navigation to restaurant	4
can you stop navigation to hotel	4
can you stop navigation to movie theatre	4
can you quit navigation to hospital	4
can you quit navigation to supermarket	4
can you turn off navigation to railway station	4
can you turn off navigation to police station	4
avoid highways on the route	5
can you navigate by avoiding highways	5
navigate without highways	5
turn on navigation and avoid highways	5
activate navigation while avoiding highways	5
start driving and avoid highways	5
enable driving mode and avoid highways	5
put on navigation mode and avoid highways	5
start navigating and avoid highways	5
begin navigating to it while avoiding highways	5
guide me to it by avoiding highways	5
drive me to it without highways	5
enable the navigation and avoid highways	5
turn on navigation mode without highways	5
can you start navigation to it by avoiding highways	5
can you start driving without highways	5
please start navigation avoid highways	5
please avoid highways and start driving to it	5
please enable navigation while avoiding highways	5
please activate navigation mode and avoid highways	5
turn on navigation by walking and avoid highways	5
please activate navigation by foot without highways	5
start navigating by car and avoid highways	5
can you enable navigation by bike without highways	5
can you turn on navigation by walking by avoiding highways	5
can you please switch on navigation by foot and avoid highways	5
please turn on navigation by walking without highways	5
can you avoid highways and start navigation by bike	5
activate navigation by car and avoid highways	5
can you begin navigation by foot without highways	5
avoid highways on the route to home	5
avoid highways on the route to chicago	5
avoid highways and navigate to office	5
avoid highways and navigate to santa clara	5
avoid highways on the way to nvidia headquarters	5
avoid highways on the way to intel museum	5
drive me to golden gate bridge by avoiding highways	5
navigate by avoiding highways to nvidia santa clara office	5
navigate by bike and avoid highways to 203, lincoln avenue	5
navigate by bike and avoid highways to nvidia	5
please navigate without highways to new york	5
please navigate without highways to work	5
take me to san francisco and avoid highways	5
take me to 2788, san thomas express way, santa clara and avoid highways	5
avoid highways and navigate to golden gate bridge by car	5
avoid highways and navigate to santa clara convention centre by car	5
drive me to google by bike and avoid highways	5
drive me to facebook by bike and avoid highways	5
can you please avoid highways and navigate to london	5
can you drive me to home while avoiding highways	5
can you drive me to chicago while avoiding highways	5
please take me to office by avodiing highways	5
please take me to santa clara by avodiing highways	5
avoid highways and start navigation to new york by car	5
avoid highways and start navigation to work by car	5
can you turn on navigation to nvidia headquarters while avoiding highways	5
switch on navigation to stanford and avoid highways	5
switch on navigation to nvidia santa clara office and avoid highways	5
avoid highways and drive me to 203, lincoln avenue by bike	5
avoid highways and drive me to nvidia by bike	5
start navigation by walking to nvidia headquarters while avoiding highways	5
start navigation by walking to intel museum while avoiding highways	5
can you activate navigation by bike and avoiding highways to golden gate bridge	5
can you activate navigation by bike and avoiding highways to santa clara convention centre	5
please avoid highways while navigating me to san francisco	5
please avoid highways while navigating me to 2788, san thomas express way, santa clara	5
avoid highways and activate navigation to san francisco by bike	5
avoid highways and activate navigation to 2788, san thomas express way, santa clara by bike	5
google	5
facebook	5
to 203, lincoln avenue	5
to nvidia	5
google by walking	5
facebook by walking	5
to san jose on foot	5
list tolls on the route	6
are there any tolls on the way	6
is there any toll on the road	6
find me tolls on the road	6
locate the tolls on the path	6
show the nearest toll	6
display list of tolls on the way	6
please show me tolls on the route	6
please display tolls on the way	6
please find the tolls on the road	6
please find me the nearest toll	6
can you show me tolls on the way	6
can you tell me where the nearest toll is	6
can you list tolls on the way	6
are there any tolls on the way to home	6
are there any tolls on the way to chicago	6
list tolls on the way to office	6
list tolls on the way to santa clara	6
please show me tolls on route to nvidia headquarters	6
can you display tolls on the way to nvidia santa clara office	6
where is the closest toll on route to golden gate bridge	6
where is the closest toll on route to santa clara convention centre	6
can you find me nearest toll on route to new york	6
can you find me nearest toll on route to work	6
find me tolls on the road to nvidia	6
is there any tolls on the route to san francisco from santa clara	6
is there any tolls on the route to 2788, san thomas express way, santa clara from office	6
is there any tolls on the route to 2788, san thomas express way, santa clara from santa clara	6
is there any toll on the road from home to san jose	6
is there any toll on the road from work to london	6
is there any toll on the road from work to san jose	6
are there any tolls from office to new york	6
are there any tolls from office to work	6
are there any tolls from santa clara to new york	6
are there any tolls from santa clara to work	6
can you show me the tolls on the route from nvidia headquarters to google	6
can you show me the tolls on the route from nvidia headquarters to facebook	6
can you show me the tolls on the route from intel museum to google	6
can you show me the tolls on the route from intel museum to facebook	6
locate the tolls on the road to new york from golden gate bridge	6
locate the tolls on the road to new york from santa clara convention centre	6
locate the tolls on the road to work from golden gate bridge	6
locate the tolls on the road to work from santa clara convention centre	6
please show me tolls on the way from san francisco to office	6
please show me tolls on the way from san francisco to santa clara	6
please show me tolls on the way from london to office	6
please show me tolls on the way from london to santa clara	6
list tolls on route from nvidia headquarters to san francisco	6
list tolls on route from intel museum to 2788, san thomas express way, santa clara	6
stanford	6
nvidia santa clara office	6
to golden gate bridge	6
to santa clara convention centre	6
on the route to nvidia headquarters	6
get me the speed limit on the route	7
find me the speed limit	7
what is the speed limit	7
tell the speed limit	7
can you find the speed limit	7
can you tell what the speed limit is	7
please show the speed limit	7
please display the speed limit	7
please find me the speed limit	7
what is the speed limit in kilometers per hour	7
what is the speed limit on the road in miles per hour	7
show the speed limit in meters per second	7
can you display speed limit in kilometers per hour	7
can you tell me the speed limit in miles per hour	7
please find speed limit in meters per second	7
please get the speed limit in kilometers per hour	7
what is the speed limit between home and london	7
what is the speed limit between home and san jose	7
what is the speed limit between work and london	7
what is the speed limit between work and san jose	7
find me the speed limit on the way to san francisco	7
find me the speed limit on the way to 2788, san thomas express way, santa clara	7
show me the speed limit on the route to 203, lincoln avenue from office	7
show me the speed limit on the route to 203, lincoln avenue from santa clara	7
show me the speed limit on the route to nvidia from office	7
show me the speed limit on the route to nvidia from santa clara	7
tell me the speed limit on the way to new york from nvidia headquarters	7
tell me the speed limit on the way to new york from intel museum	7
tell me the speed limit on the way to work from nvidia headquarters	7
what is the speed limit between golden gate bridge and stanford in meters per second	7
what is the speed limit between golden gate bridge and nvidia santa clara office in meters per second	7
what is the speed limit between santa clara convention centre and nvidia santa clara office in meters per second	7
find me the speed limit on the route to home in kilometers per hour	7
find me the speed limit on the route to chicago in kilometers per hour	7
tell me the speed limit in miles per hour to office	7
tell me the speed limit in miles per hour to santa clara	7
get me the speed limit to new york from office in meters per second	7
get me the speed limit to new york from santa clara in meters per second	7
get me the speed limit to work from office in meters per second	7
can you show the speed limit from from nvidia headquarters to google in kilometers per hour	7
can you show the speed limit from from intel museum to google in kilometers per hour	7
can you show the speed limit from from intel museum to facebook in kilometers per hour	7
stanford	7
nvidia santa clara office	7
office in in kilometers per hour	7
santa clara in in kilometers per hour	7
to golden gate bridge	7
on the way to nvidia headquarters	7
on the way to intel museum	7
nvidia in miles per hour	7
in meters per second to san francisco	7
in meters per second to 2788, san thomas express way, santa clara	7
what is the distance from home to london	8
what is the distance from home to san jose	8
what is the distance from work to london	8
how much is the distance from office to san francisco in meters	8
how much is the distance from office to 2788, san thomas express way, santa clara in meters	8
how much is the distance from santa clara to san francisco in meters	8
how much is the distance from santa clara to 2788, san thomas express way, santa clara in meters	8
what is the distance from nvidia headquarters to 203, lincoln avenue by car	8
what is the distance from nvidia headquarters to nvidia by car	8
what is the distance from intel museum to 203, lincoln avenue by car	8
what is the distance from intel museum to nvidia by car	8
what is the distance to google	8
what is the distance to facebook	8
how much is the distance to home in kilometers	8
how much is the distance to chicago in kilometers	8
how far is new york by bike	8
how far is work by bike	8
how much distance is it to stanford in miles	8
can you show me the distance to golden gate bridge	8
can you show me the distance to santa clara convention centre	8
find me the distance to nvidia headquarters from golden gate bridge	8
find me the distance to nvidia headquarters from santa clara convention centre	8
find me the distance to intel museum from santa clara convention centre	8
show the distance to santa clara in meters	8
get me the distance to home from stanford in kilometers	8
get me the distance to home from nvidia santa clara office in kilometers	8
get me the distance to chicago from stanford in kilometers	8
tell me the distance to home on foot	8
tell me the distance to chicago on foot	8
home	8
chicago	8
to santa clara	8
distance to nvidia headquarters	8
distance to intel museum	8
home in meters	8
chicago in meters	8
to office in kilometers	8
to santa clara in kilometers	8
distance to intel museum in miles	8
home	8
chicago	8
to office	8
to santa clara	8
distance to nvidia headquarters	8
home in meters	8
chicago in meters	8
to office in kilometers	8
distance to intel museum in miles	8
what is the distance	9
can you get me the distance	9
how far is the distance to it	9
tell me the distance to it	9
find me the distance	9
show the distance	9
can you find the distance	9
can you show me the distance	9
can you tell me the distance to it	9
please find the distance	9
please show me the distance to it	9
please get the distance to it	9
find me the distance in meters	9
can you show the distance in kilometers	9
how far is it in miles	9
what is the distance in meters	9
please find the distance in kilometers	9
can you please tell the distance in miles	9
what is the distance to a coffee shop	9
what is the distance to a restaurant	9
how far is the distance to a hotel	9
how far is the distance to a movie theatre	9
how much is the distance to the nearest hospital	9
how much is the distance to the nearest supermarket	9
how far is the closest railway station	9
how far is the closest police station	9
what is the distance to kfc in meters	9
what is the distance to walmart in meters	9
how much is the distance to the cheapest coffee shop in kilometers	9
how much is the distance to the cheapest restaurant in kilometers	9
how far is the distance to a macdonald's by car	9
how far is the distance to a domino's by car	9
what is the distance to a chinese coffee shop	9
what is the distance to a chinese restaurant	9
how far is the nearest continental coffee shop	9
how far is the nearest continental restaurant	9
how far is the nearest american coffee shop	9
how far is the nearest american restaurant	9
how far is a mexican coffee shop in miles	9
how far is a mexican restaurant in miles	9
how far is a italian coffee shop in miles	9
how far is a italian restaurant in miles	9
what is the distance to the closest japanese coffee shop in meters	9
what is the distance to the closest japanese restaurant in meters	9
what is the distance to the closest greek coffee shop in meters	9
what is the distance to the closest greek restaurant in meters	9
how much is the distance to a french coffee shop by bike	9
how much is the distance to a french restaurant by bike	9
how much is the distance to a thai coffee shop by bike	9
how much is the distance to a thai restaurant by bike	9
how far is the distance to the nearest hotel by walking	9
how far is the distance to the nearest movie theatre by walking	9
how far is a hospital	9
how far is a supermarket	9
how far is a good hotel	9
tell me the distance to spanish restaurant	9
tell me the distance to mediterranean coffee shop	9
tell me the distance to mediterranean restaurant	9
can you find me the distance to the cheap vietnamese coffee shop	9
can you find me the distance to the cheap european coffee shop	9
can you find me the distance to the cheap european restaurant	9
get me the distance to indian coffee shop in kilometers	9
get me the distance to indian restaurant in kilometers	9
get me the distance to chinese coffee shop in kilometers	9
get me the distance to chinese restaurant in kilometers	9
please show me the distance to the nearest continental coffee shop in miles	9
please show me the distance to the nearest continental restaurant in miles	9
please show me the distance to the nearest american coffee shop in miles	9
please show me the distance to the nearest american restaurant in miles	9
can you show the distance to mexican coffee shop on foot	9
can you show the distance to mexican restaurant on foot	9
can you show the distance to italian coffee shop on foot	9
can you show the distance to italian restaurant on foot	9
find me the distance to the cheapest mexican coffee shop by car	9
find me the distance to the cheapest mexican restaurant by car	9
find me the distance to the cheapest italian coffee shop by car	9
find me the distance to the cheapest italian restaurant by car	9
show the distance to a good hotel	9
show the distance to a good movie theatre	9
find the distance to a expensive hospital closeby	9
find the distance to a expensive supermarket closeby	9
can you please tell the distance to a cheap railway station in miles	9
can you please tell the distance to a cheap police station in miles	9
please show the distance to a good kfc closeby in meters	9
please show the distance to a good walmart closeby in meters	9
please show the distance to a good starbucks closeby in meters	9
tell me the distance to a expensive coffee shop by bike	9
tell me the distance to a expensive restaurant by bike	9
can you find the distance to a cheap hotel nearby	9
can you find the distance to a cheap movie theatre nearby	9
macdonald's	9
domino's	9
to railway station	9
to police station	9
to a kfc closeby	9
to a walmart closeby	9
to a starbucks closeby	9
japanese coffee shop in meters	9
japanese restaurant in meters	9
greek coffee shop in meters	9
greek restaurant in meters	9
to french coffee shop	9
to french restaurant	9
to thai coffee shop	9
to thai restaurant	9
to a expensive spanish coffee shop	9
to a expensive spanish restaurant	9
to a expensive mediterranean coffee shop	9
to a expensive mediterranean restaurant	9
to a vietnamese coffee shop nearby	9
to a vietnamese restaurant nearby	9
to a european coffee shop nearby	9
to a european restaurant nearby	9
a cheap hospital in kilometers	9
a cheap supermarket in kilometers	9
a railway station closeby	9
a police station closeby	9
the closest coffee shop in meters	9
the closest restaurant in meters	9
the cheapest hotel nearby	9
the cheapest movie theatre nearby	9
to a closeby kfc in miles	9
to a closeby walmart in miles	9
to a closeby starbucks in miles	9
nearby macdonald's	9
nearby domino's	9
macdonald's	9
domino's	9
to railway station	9
to police station	9
to a good hotel	9
to a good movie theatre	9
to a kfc closeby	9
to a walmart closeby	9
to a starbucks closeby	9
japanese coffee shop in meters	9
japanese restaurant in meters	9
greek coffee shop in meters	9
greek restaurant in meters	9
to french coffee shop	9
to french restaurant	9
to thai coffee shop	9
to thai restaurant	9
to a expensive spanish coffee shop	9
to a expensive spanish restaurant	9
to a expensive mediterranean restaurant	9
to a vietnamese coffee shop nearby	9
to a vietnamese restaurant nearby	9
to a european coffee shop nearby	9
to a european restaurant nearby	9
a cheap hospital in kilometers	9
a cheap supermarket in kilometers	9
a railway station closeby	9
a police station closeby	9
the closest coffee shop in meters	9
the closest restaurant in meters	9
the cheapest hotel nearby	9
the cheapest movie theatre nearby	9
to a closeby kfc in miles	9
to a closeby walmart in miles	9
to a closeby starbucks in miles	9
nearby macdonald's	9
nearby domino's	9
what is the traveling time to london	10
what is the traveling time to san jose	10
how much is the traveling time from work to san francisco	10
how much is the traveling time from work to 2788, san thomas express way, santa clara	10
what is the traveling time from 203, lincoln avenue to 203, lincoln avenue by car	10
what is the traveling time from 203, lincoln avenue to nvidia by car	10
what is the traveling time from 2788, san thomas express way, santa clara to 203, lincoln avenue by car	10
what is the traveling time from 2788, san thomas express way, santa clara to nvidia by car	10
how long does it take to reach facebook	10
how long will it take to reach new york from nvidia headquarters	10
how long will it take to reach new york from intel museum	10
how long will it take to reach work from nvidia headquarters	10
how long will it take to reach work from intel museum	10
how much time does it take to reach stanford by bike	10
how much time does it take to reach nvidia santa clara office by bike	10
how long does it take to reach golden gate bridge from golden gate bridge by walking	10
how long does it take to reach golden gate bridge from santa clara convention centre by walking	10
how long does it take to reach santa clara convention centre from golden gate bridge by walking	10
how long does it take to reach santa clara convention centre from santa clara convention centre by walking	10
how much time it will take to reach nvidia headquarters	10
how much time it will take to reach intel museum	10
how much time is left to reach office by bike	10
how much time is left to reach santa clara by bike	10
find me the time to reach san francisco from stanford	10
find me the time to reach san francisco from nvidia santa clara office	10
find me the time to reach 2788, san thomas express way, santa clara from stanford	10
show the time to reach home by car	10
show the time to reach chicago by car	10
can you please tell the time to reach office from new york on foot	10
can you please tell the time to reach office from nvidia on foot	10
can you please tell the time to reach santa clara from new york on foot	10
can you please tell the time to reach santa clara from nvidia on foot	10
can you show the traveling time to nvidia headquarters	10
can you show the traveling time to intel museum	10
